epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2502.17,1.11035,0.94094,1.53166,0.92442,0.76922,0.87369,0.55038,1.29674,0.79428,1.64155,0.0015921,0.0015921,0.0015921
43,2561.65,1.11024,0.9648,1.53832,0.90575,0.79874,0.89362,0.54982,1.3115,0.81746,1.63707,0.00158847,0.00158847,0.00158847
44,2621.01,1.11359,0.95846,1.53046,0.90122,0.80818,0.89337,0.58393,1.20981,0.78106,1.53392,0.00158475,0.00158475,0.00158475
45,2680.49,1.09606,0.9369,1.52963,0.92928,0.78512,0.87859,0.59357,1.11251,0.73987,1.50326,0.00158094,0.00158094,0.00158094
46,2740.11,1.10786,0.9448,1.5288,0.91565,0.80189,0.88604,0.54573,1.35793,0.81011,1.66256,0.00157706,0.00157706,0.00157706
47,2799.55,1.08253,0.91492,1.51079,0.88487,0.84594,0.90392,0.55688,1.32709,0.76535,1.63372,0.0015731,0.0015731,0.0015731
48,2859.03,1.09446,0.91729,1.51897,0.9209,0.7956,0.88338,0.61274,1.06545,0.73463,1.51569,0.00156906,0.00156906,0.00156906
49,2918.61,1.09295,0.90847,1.51835,0.87874,0.84318,0.89662,0.57278,1.28177,0.75175,1.61961,0.00156493,0.00156493,0.00156493
50,2978,1.08643,0.91491,1.50761,0.9106,0.80073,0.88504,0.61463,1.04814,0.73952,1.47598,0.00156073,0.00156073,0.00156073
51,3037.48,1.08338,0.89486,1.50269,0.92356,0.80503,0.88616,0.57804,1.1992,0.76152,1.55646,0.00155645,0.00155645,0.00155645
52,3097.02,1.08121,0.9077,1.50428,0.89243,0.80877,0.89886,0.56387,1.2544,0.74725,1.64019,0.00155209,0.00155209,0.00155209
53,3156.37,1.06107,0.87511,1.49305,0.9115,0.80818,0.90375,0.59387,1.24246,0.69801,1.55953,0.00154765,0.00154765,0.00154765
54,3215.69,1.07115,0.90757,1.5106,0.89448,0.8239,0.88332,0.61547,1.0269,0.67941,1.46913,0.00154314,0.00154314,0.00154314
55,3275.38,1.05396,0.88923,1.48155,0.92012,0.79686,0.90076,0.56177,1.31445,0.73255,1.64951,0.00153854,0.00153854,0.00153854
56,3334.78,1.04971,0.87568,1.47943,0.93059,0.82075,0.88019,0.57966,1.19701,0.7205,1.58715,0.00153388,0.00153388,0.00153388
57,3394.15,1.0754,0.86088,1.51121,0.91733,0.8026,0.86783,0.55515,1.26857,0.76655,1.60981,0.00152913,0.00152913,0.00152913
58,3453.48,1.04738,0.85081,1.47658,0.93681,0.78616,0.88057,0.58669,1.1491,0.71245,1.52537,0.00152431,0.00152431,0.00152431
59,3512.86,1.02683,0.84986,1.46364,0.91381,0.80021,0.88661,0.58058,1.21678,0.71601,1.59915,0.00151942,0.00151942,0.00151942
60,3572.47,1.06543,0.8616,1.49619,0.93793,0.80818,0.90523,0.5879,1.20981,0.69173,1.56244,0.00151445,0.00151445,0.00151445
61,3631.86,1.04055,0.87117,1.4713,0.94087,0.81132,0.90176,0.59425,1.14241,0.67622,1.52062,0.00150941,0.00150941,0.00150941
62,3691.38,1.02115,0.8513,1.47062,0.94695,0.78588,0.89926,0.59388,1.19218,0.69128,1.57107,0.00150429,0.00150429,0.00150429
63,3750.78,1.02736,0.83693,1.45733,0.93987,0.81132,0.90127,0.6045,1.12439,0.69442,1.4732,0.0014991,0.0014991,0.0014991
64,3810.35,1.04081,0.83462,1.46276,0.84564,0.82704,0.87213,0.6027,1.09465,0.74915,1.47844,0.00149384,0.00149384,0.00149384
65,3869.74,1.03153,0.83338,1.46814,0.93157,0.81341,0.89801,0.62841,1.05313,0.7134,1.45504,0.00148851,0.00148851,0.00148851
66,3929.2,0.99895,0.81184,1.43874,0.87065,0.83019,0.87618,0.61696,1.04836,0.69655,1.45283,0.00148311,0.00148311,0.00148311
67,3988.48,1.0559,0.85331,1.48742,0.90107,0.81447,0.88262,0.59553,1.17961,0.67817,1.55398,0.00147764,0.00147764,0.00147764
68,4047.81,1.0163,0.82584,1.45608,0.92775,0.82075,0.89366,0.60433,1.08532,0.67343,1.49784,0.00147209,0.00147209,0.00147209
69,4107.11,1.00106,0.81132,1.43229,0.87409,0.83019,0.87883,0.63993,1.01443,0.69295,1.41305,0.00146648,0.00146648,0.00146648
70,4166.62,1.01699,0.82881,1.4481,0.88276,0.85244,0.90655,0.62525,1.07936,0.63711,1.47634,0.0014608,0.0014608,0.0014608
71,4226.13,0.99856,0.81044,1.42816,0.94422,0.79849,0.91223,0.61757,1.12123,0.67473,1.49182,0.00145505,0.00145505,0.00145505
72,4285.52,1.00713,0.80473,1.45436,0.94149,0.77673,0.90503,0.58041,1.26501,0.72658,1.58036,0.00144924,0.00144924,0.00144924
73,4344.87,0.98434,0.78542,1.42621,0.91074,0.81447,0.88502,0.63633,0.99726,0.68639,1.44594,0.00144335,0.00144335,0.00144335
74,4404.22,0.99171,0.79598,1.43239,0.91839,0.81393,0.9134,0.64215,1.05178,0.67268,1.45042,0.00143741,0.00143741,0.00143741
75,4463.86,0.99067,0.79444,1.43427,0.89283,0.83837,0.90388,0.62908,1.05354,0.66439,1.44307,0.00143139,0.00143139,0.00143139
76,4523.22,0.98412,0.77437,1.42364,0.94074,0.79867,0.89749,0.62128,1.11261,0.68606,1.45945,0.00142531,0.00142531,0.00142531
77,4582.73,0.9913,0.78257,1.42506,0.9168,0.79696,0.89599,0.62012,1.0444,0.65358,1.41587,0.00141917,0.00141917,0.00141917
78,4642.03,0.9658,0.7728,1.40512,0.90529,0.7815,0.88854,0.6196,1.06935,0.71614,1.50077,0.00141297,0.00141297,0.00141297
79,4701.46,0.98406,0.78073,1.43278,0.87857,0.86462,0.91516,0.66236,0.95918,0.63888,1.36654,0.0014067,0.0014067,0.0014067
80,4760.84,0.9788,0.77534,1.42938,0.8847,0.86865,0.91917,0.62444,1.08367,0.62105,1.47672,0.00140037,0.00140037,0.00140037
81,4820.13,0.98692,0.77554,1.42353,0.92651,0.8326,0.91427,0.62124,1.14469,0.67058,1.49936,0.00139398,0.00139398,0.00139398
82,4879.43,0.99065,0.7895,1.43807,0.92567,0.82075,0.90263,0.6449,1.01189,0.62964,1.4005,0.00138753,0.00138753,0.00138753
83,4938.74,0.98496,0.76718,1.41094,0.90068,0.85553,0.92002,0.64366,1.04222,0.63484,1.42871,0.00138101,0.00138101,0.00138101
84,4998.17,0.95956,0.75596,1.41049,0.88853,0.8522,0.90759,0.61358,1.09704,0.63604,1.46849,0.00137444,0.00137444,0.00137444
85,5057.43,0.96321,0.74213,1.41133,0.9157,0.84906,0.92578,0.64729,1.08073,0.62222,1.48003,0.00136781,0.00136781,0.00136781
86,5116.89,0.95369,0.75773,1.39752,0.945,0.8104,0.89506,0.64902,0.98134,0.64101,1.37996,0.00136113,0.00136113,0.00136113
87,5176.2,0.95543,0.74915,1.40077,0.93972,0.83344,0.90828,0.65658,0.99689,0.59057,1.397,0.00135438,0.00135438,0.00135438
88,5235.52,0.95333,0.75297,1.41107,0.92109,0.81761,0.88993,0.62988,1.04056,0.68188,1.44515,0.00134758,0.00134758,0.00134758
89,5294.84,0.94097,0.72176,1.39955,0.94122,0.81132,0.89812,0.65623,0.93071,0.6253,1.36125,0.00134073,0.00134073,0.00134073
90,5354.23,0.93325,0.71353,1.38056,0.8835,0.85853,0.9029,0.61987,1.10185,0.60434,1.46568,0.00133382,0.00133382,0.00133382
91,5413.57,0.95232,0.74249,1.3994,0.90028,0.8522,0.91136,0.66823,0.91444,0.58583,1.3417,0.00132685,0.00132685,0.00132685
92,5473.11,0.94943,0.74133,1.39286,0.89286,0.8522,0.90576,0.6296,1.01241,0.60804,1.41969,0.00131984,0.00131984,0.00131984
93,5532.5,0.93296,0.71653,1.38576,0.92056,0.82704,0.88044,0.62524,0.99726,0.68111,1.41567,0.00131277,0.00131277,0.00131277
94,5591.91,0.93214,0.72578,1.38987,0.94544,0.81736,0.91675,0.64005,1.04897,0.62209,1.41733,0.00130565,0.00130565,0.00130565
95,5651.41,0.91763,0.7066,1.35748,0.93565,0.82075,0.90352,0.6269,1.03388,0.65085,1.46333,0.00129847,0.00129847,0.00129847
96,5710.95,0.94608,0.72057,1.38654,0.90359,0.82075,0.89595,0.63101,1.02672,0.65513,1.441,0.00129125,0.00129125,0.00129125
97,5770.37,0.92731,0.70582,1.37555,0.87238,0.85982,0.88355,0.6323,1.00075,0.64637,1.40609,0.00128398,0.00128398,0.00128398
98,5829.73,0.94168,0.71777,1.38727,0.91013,0.85988,0.90771,0.66554,0.91461,0.61869,1.33043,0.00127666,0.00127666,0.00127666
99,5889.18,0.92268,0.70523,1.37198,0.90355,0.87107,0.90685,0.66467,0.96236,0.58774,1.34989,0.00126929,0.00126929,0.00126929
100,5948.53,0.91163,0.70548,1.36877,0.87978,0.87421,0.91467,0.65671,1.01973,0.60194,1.40689,0.00126188,0.00126188,0.00126188
101,6008.03,0.90971,0.69711,1.37257,0.86237,0.87736,0.91241,0.6485,1.02086,0.64256,1.42519,0.00125442,0.00125442,0.00125442
102,6067.45,0.91363,0.70379,1.35832,0.93198,0.81863,0.91312,0.63919,1.03847,0.61273,1.44778,0.00124691,0.00124691,0.00124691
103,6126.88,0.9172,0.70132,1.35839,0.91057,0.85535,0.91491,0.65075,1.01951,0.59627,1.4409,0.00123936,0.00123936,0.00123936
104,6186.39,0.89015,0.67499,1.34991,0.88775,0.86478,0.90213,0.64208,0.95058,0.58556,1.39196,0.00123177,0.00123177,0.00123177
105,6245.77,0.91818,0.70347,1.38158,0.90501,0.86882,0.92841,0.67412,0.9237,0.54915,1.34999,0.00122413,0.00122413,0.00122413
106,6305.22,0.90124,0.69545,1.35843,0.91342,0.8626,0.91359,0.64563,0.9903,0.58015,1.41809,0.00121645,0.00121645,0.00121645
107,6364.58,0.91551,0.70247,1.36835,0.92035,0.82075,0.8942,0.64831,0.99828,0.61094,1.42612,0.00120873,0.00120873,0.00120873
108,6423.89,0.88962,0.69451,1.35176,0.90734,0.83138,0.88429,0.6442,0.96303,0.62183,1.39918,0.00120097,0.00120097,0.00120097
109,6483.37,0.89449,0.68977,1.35881,0.93837,0.80503,0.90958,0.65474,0.98306,0.60291,1.42899,0.00119317,0.00119317,0.00119317
110,6542.68,0.88249,0.67388,1.34604,0.90334,0.84277,0.9125,0.66955,0.95169,0.56892,1.39051,0.00118534,0.00118534,0.00118534
111,6602.12,0.85894,0.65624,1.33533,0.9146,0.84197,0.9141,0.67138,0.96886,0.58772,1.39955,0.00117746,0.00117746,0.00117746
112,6661.46,0.90571,0.68478,1.35846,0.9565,0.82975,0.91032,0.65522,1.02776,0.60101,1.43647,0.00116955,0.00116955,0.00116955
113,6720.85,0.87005,0.66501,1.33669,0.90252,0.88365,0.89802,0.66044,0.95778,0.60662,1.39215,0.0011616,0.0011616,0.0011616
114,6780.24,0.88182,0.67444,1.34134,0.91164,0.86478,0.90296,0.66066,0.94305,0.59798,1.36556,0.00115362,0.00115362,0.00115362
115,6839.64,0.88673,0.66316,1.3441,0.90644,0.83019,0.9122,0.66904,0.92274,0.59188,1.34442,0.0011456,0.0011456,0.0011456
116,6899,0.89058,0.65655,1.33497,0.90081,0.85674,0.91292,0.67509,0.9197,0.57453,1.34605,0.00113755,0.00113755,0.00113755
117,6958.5,0.88496,0.67057,1.34261,0.92001,0.84277,0.91109,0.67495,0.90103,0.56609,1.33318,0.00112946,0.00112946,0.00112946
118,7017.92,0.86022,0.64199,1.32848,0.93367,0.82075,0.9099,0.67093,0.92073,0.56414,1.36451,0.00112135,0.00112135,0.00112135
119,7077.4,0.87982,0.65611,1.34466,0.90062,0.88994,0.90196,0.67177,0.91222,0.56307,1.34334,0.0011132,0.0011132,0.0011132
120,7136.8,0.86699,0.64812,1.34264,0.90049,0.84277,0.90655,0.6826,0.90172,0.57055,1.33007,0.00110503,0.00110503,0.00110503
121,7196.28,0.87602,0.6628,1.34291,0.92436,0.84543,0.90138,0.66609,0.95151,0.55063,1.34527,0.00109683,0.00109683,0.00109683
122,7255.66,0.8622,0.65158,1.32733,0.90589,0.8522,0.90197,0.66599,0.95705,0.58942,1.3464,0.00108859,0.00108859,0.00108859
123,7315.15,0.86869,0.65868,1.33187,0.91595,0.8522,0.90732,0.68114,0.88994,0.57047,1.30948,0.00108033,0.00108033,0.00108033
