epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,104.818,1.54258,1.83195,1.87367,0.07034,0.33648,0.0458,0.01366,2.62439,18.1232,3.99554,0.000552491,0.000552491,0.000552491
2,205.335,1.73772,1.84712,2.02688,0.43537,0.47283,0.35229,0.13243,1.9402,4.09792,2.44057,0.00110813,0.00110813,0.00110813
3,305.668,1.67789,1.78746,1.98013,0.24065,0.3522,0.19448,0.0822,1.9625,4.47251,2.44733,0.00166364,0.00166364,0.00166364
4,405.818,1.60864,1.68425,1.90286,0.60739,0.62264,0.64437,0.33161,1.57617,1.76387,2.03637,0.00166659,0.00166659,0.00166659
5,506.159,1.52422,1.59179,1.8456,0.65536,0.6195,0.63784,0.37766,1.45559,1.61464,1.9861,0.00166628,0.00166628,0.00166628
6,606.44,1.43523,1.44763,1.76004,0.80098,0.64545,0.75736,0.44101,1.38828,1.35746,1.89201,0.00166587,0.00166587,0.00166587
7,706.802,1.37973,1.39539,1.71338,0.86844,0.6761,0.81168,0.50069,1.30974,1.1014,1.73482,0.00166537,0.00166537,0.00166537
8,807.209,1.33348,1.32612,1.68728,0.77019,0.66981,0.74754,0.45137,1.36821,1.15873,1.79953,0.00166478,0.00166478,0.00166478
9,907.428,1.30239,1.28692,1.66006,0.87458,0.76101,0.80954,0.52762,1.33233,1.07272,1.83772,0.00166411,0.00166411,0.00166411
10,1007.8,1.29571,1.23929,1.64129,0.81498,0.74843,0.82185,0.53346,1.30337,0.99845,1.70713,0.00166334,0.00166334,0.00166334
11,1108.15,1.26662,1.21034,1.61451,0.80299,0.73585,0.80712,0.5533,1.17645,1.01917,1.65156,0.00166248,0.00166248,0.00166248
12,1208.44,1.27882,1.20759,1.63365,0.86459,0.73899,0.85052,0.577,1.17686,0.91668,1.65004,0.00166153,0.00166153,0.00166153
