epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.7233,1.29736,1.54775,1.55743,0.04164,0.36164,0.03146,0.01182,2.54105,26.4249,3.91381,0.000549352,0.000549352,0.000549352
2,80.0803,1.46582,1.39761,1.65808,0.3748,0.48742,0.31842,0.11167,2.40072,6.46058,3.57806,0.00110137,0.00110137,0.00110137
3,119.439,1.44824,1.37234,1.61396,0.49796,0.53145,0.47175,0.22792,1.97072,2.32957,2.22333,0.00164973,0.00164973,0.00164973
4,158.549,1.38552,1.28063,1.58164,0.69907,0.66981,0.7145,0.41741,1.50859,1.48639,1.83322,0.0016505,0.0016505,0.0016505
5,197.88,1.33622,1.19123,1.54583,0.78453,0.73278,0.79265,0.4756,1.44872,1.27029,1.64848,0.001645,0.001645,0.001645
6,237.136,1.28676,1.17972,1.49722,0.7293,0.72858,0.7597,0.4826,1.30619,1.13337,1.58737,0.00163949,0.00163949,0.00163949
