epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.101,1.54258,1.83195,1.87367,0.07011,0.33648,0.04569,0.01365,2.63219,18.8612,4.05207,0.000552491,0.000552491,0.000552491
2,201.086,1.73772,1.84712,2.02688,0.43537,0.47283,0.35229,0.13243,1.90975,4.13303,2.42786,0.00110813,0.00110813,0.00110813
3,301.142,1.67789,1.78746,1.98013,0.24065,0.3522,0.19448,0.0822,1.99193,4.57652,2.49452,0.00166364,0.00166364,0.00166364
4,401.175,1.60864,1.68425,1.90286,0.60739,0.62264,0.64437,0.33161,1.6034,1.78025,2.09052,0.00166659,0.00166659,0.00166659
5,501.396,1.52422,1.59179,1.8456,0.65536,0.6195,0.63784,0.37766,1.4949,1.66366,2.03631,0.00166628,0.00166628,0.00166628
6,601.642,1.43523,1.44763,1.76004,0.80098,0.64545,0.75736,0.44101,1.40385,1.34652,1.91023,0.00166587,0.00166587,0.00166587
7,701.831,1.37973,1.39539,1.71338,0.86844,0.6761,0.81168,0.50069,1.34903,1.12686,1.78162,0.00166537,0.00166537,0.00166537
8,801.986,1.33348,1.32612,1.68728,0.77019,0.66981,0.74754,0.45137,1.39493,1.18383,1.83938,0.00166478,0.00166478,0.00166478
9,901.876,1.30239,1.28692,1.66006,0.87458,0.76101,0.80954,0.52762,1.33122,1.07709,1.84897,0.00166411,0.00166411,0.00166411
10,1001.84,1.29571,1.23929,1.64129,0.81498,0.74843,0.82185,0.53346,1.33446,1.04084,1.74938,0.00166334,0.00166334,0.00166334
11,1101.79,1.26662,1.21034,1.61451,0.80299,0.73585,0.80712,0.5533,1.20188,1.04142,1.68152,0.00166248,0.00166248,0.00166248
12,1201.81,1.27882,1.20759,1.63365,0.86459,0.73899,0.85052,0.577,1.20583,0.93905,1.68148,0.00166153,0.00166153,0.00166153
13,1301.78,1.23609,1.15388,1.58021,0.85313,0.74843,0.83222,0.5568,1.24386,1.01168,1.67645,0.00166049,0.00166049,0.00166049
14,1401.6,1.24373,1.17425,1.60814,0.82219,0.74158,0.82932,0.56801,1.1847,0.9902,1.65622,0.00165937,0.00165937,0.00165937
15,1501.32,1.18235,1.11935,1.55184,0.83845,0.79975,0.8536,0.56566,1.1848,0.98159,1.62503,0.00165815,0.00165815,0.00165815
16,1601.09,1.17205,1.09251,1.54959,0.89623,0.78764,0.88018,0.62053,1.12551,0.88459,1.56826,0.00165684,0.00165684,0.00165684
