epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4233.9,1.15869,1.03671,1.5785,0.89391,0.79874,0.87418,0.52067,1.5828,0.89004,1.92009,0.0015921,0.0015921,0.0015921
43,4334.57,1.16805,1.07172,1.59194,0.85336,0.80519,0.86451,0.55186,1.39529,0.96947,1.75653,0.00158847,0.00158847,0.00158847
44,4435.39,1.13971,1.02897,1.56539,0.90656,0.79326,0.87919,0.5321,1.42538,0.91767,1.7878,0.00158475,0.00158475,0.00158475
45,4535.93,1.14551,1.02835,1.57949,0.8912,0.80503,0.87534,0.57186,1.24608,0.88481,1.61772,0.00158094,0.00158094,0.00158094
46,4636.62,1.14812,1.00666,1.56975,0.91748,0.80818,0.88386,0.50466,1.62929,0.92805,1.90262,0.00157706,0.00157706,0.00157706
47,4737.2,1.12097,0.98304,1.54758,0.91194,0.81412,0.89045,0.55714,1.37512,0.88775,1.72128,0.0015731,0.0015731,0.0015731
48,4837.8,1.11797,0.98303,1.54518,0.89324,0.79245,0.87079,0.58884,1.23852,0.871,1.615,0.00156906,0.00156906,0.00156906
49,4938.53,1.13293,0.98215,1.55695,0.84948,0.78302,0.86044,0.55759,1.33732,0.89367,1.7061,0.00156493,0.00156493,0.00156493
50,5039.13,1.13429,0.99919,1.55624,0.90939,0.82704,0.87818,0.57007,1.2931,0.86271,1.65516,0.00156073,0.00156073,0.00156073
51,5139.74,1.11524,0.95752,1.53664,0.87545,0.79569,0.86798,0.56006,1.35061,0.89014,1.71455,0.00155645,0.00155645,0.00155645
52,5240.35,1.09024,0.96438,1.52302,0.90674,0.80503,0.89724,0.56695,1.29877,0.8848,1.71314,0.00155209,0.00155209,0.00155209
53,5340.96,1.10398,0.96383,1.53787,0.86362,0.81132,0.87627,0.52492,1.46632,0.88845,1.79729,0.00154765,0.00154765,0.00154765
54,5441.58,1.11211,0.96376,1.54904,0.88356,0.83648,0.86745,0.59414,1.1699,0.78441,1.56681,0.00154314,0.00154314,0.00154314
55,5542.31,1.09902,0.94505,1.53249,0.89203,0.80542,0.88884,0.50785,1.53294,0.91949,1.88984,0.00153854,0.00153854,0.00153854
56,5642.87,1.08397,0.93918,1.52132,0.87035,0.84277,0.89165,0.57951,1.33093,0.84631,1.69959,0.00153388,0.00153388,0.00153388
57,5743.46,1.09317,0.92601,1.53344,0.92641,0.80189,0.88696,0.55496,1.41509,0.84659,1.74558,0.00152913,0.00152913,0.00152913
58,5844.09,1.08216,0.90912,1.51567,0.90603,0.81863,0.8842,0.54572,1.36461,0.85102,1.73701,0.00152431,0.00152431,0.00152431
59,5944.74,1.05995,0.90533,1.5041,0.9037,0.79677,0.8793,0.55226,1.3946,0.79957,1.76516,0.00151942,0.00151942,0.00151942
60,6045.37,1.07962,0.91892,1.51941,0.91396,0.80174,0.89188,0.59599,1.2148,0.78696,1.60255,0.00151445,0.00151445,0.00151445
61,6146.15,1.07243,0.92218,1.50559,0.86826,0.81132,0.87694,0.59124,1.18856,0.75604,1.60542,0.00150941,0.00150941,0.00150941
62,6246.7,1.0467,0.90725,1.49591,0.91475,0.81761,0.89437,0.59459,1.2664,0.76609,1.64432,0.00150429,0.00150429,0.00150429
63,6347.33,1.06469,0.90463,1.50185,0.8741,0.83648,0.88541,0.59018,1.24501,0.78392,1.62535,0.0014991,0.0014991,0.0014991
64,6447.98,1.06195,0.89908,1.4947,0.90771,0.79245,0.88428,0.60601,1.19506,0.80234,1.58034,0.00149384,0.00149384,0.00149384
65,6548.71,1.04451,0.88437,1.48436,0.90018,0.82704,0.90004,0.61915,1.22564,0.78788,1.61255,0.00148851,0.00148851,0.00148851
66,6649.52,1.02693,0.8639,1.47266,0.88062,0.82704,0.88777,0.59182,1.27131,0.79448,1.6366,0.00148311,0.00148311,0.00148311
67,6750.15,1.05298,0.90657,1.49654,0.91259,0.788,0.8878,0.56794,1.33529,0.8316,1.71638,0.00147764,0.00147764,0.00147764
68,6850.81,1.05688,0.88352,1.4949,0.84496,0.83977,0.88705,0.61278,1.13747,0.72828,1.55035,0.00147209,0.00147209,0.00147209
69,6951.38,1.02274,0.86652,1.45796,0.8915,0.82075,0.89437,0.62944,1.12456,0.72865,1.55761,0.00146648,0.00146648,0.00146648
70,7052.15,1.05455,0.88102,1.48761,0.89498,0.83333,0.88641,0.6148,1.13443,0.7454,1.53601,0.0014608,0.0014608,0.0014608
71,7152.76,1.02709,0.85389,1.4605,0.87207,0.83602,0.89621,0.57858,1.30034,0.84776,1.72989,0.00145505,0.00145505,0.00145505
72,7253.37,1.03683,0.86259,1.48959,0.90564,0.78469,0.87918,0.54853,1.3858,0.78519,1.72317,0.00144924,0.00144924,0.00144924
73,7353.95,1.00601,0.83254,1.45188,0.91036,0.8239,0.88937,0.60328,1.15847,0.74232,1.5903,0.00144335,0.00144335,0.00144335
74,7454.56,1.01221,0.83507,1.45778,0.87763,0.81189,0.88811,0.60981,1.15735,0.749,1.56959,0.00143741,0.00143741,0.00143741
75,7555.2,1.0134,0.83794,1.45694,0.84762,0.85712,0.88993,0.62256,1.17684,0.80228,1.56764,0.00143139,0.00143139,0.00143139
76,7655.75,1.00505,0.81494,1.45398,0.91272,0.85502,0.89432,0.61733,1.16315,0.72798,1.54866,0.00142531,0.00142531,0.00142531
77,7756.4,1.02042,0.82981,1.4589,0.86539,0.82886,0.88064,0.60237,1.1879,0.7781,1.60933,0.00141917,0.00141917,0.00141917
78,7857.08,0.98549,0.81118,1.42888,0.90913,0.84945,0.91452,0.59092,1.29037,0.76361,1.66007,0.00141297,0.00141297,0.00141297
