epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.2115,1.80615,2.06409,2.15008,0.23466,0.34906,0.17773,0.06271,2.26262,4.30685,2.71311,0.000554074,0.000554074,0.000554074
2,197.876,1.84863,2.05702,2.21165,0.22528,0.24528,0.11638,0.03092,2.74394,2.95979,3.16063,0.00110971,0.00110971,0.00110971
3,296.568,1.71437,1.94357,2.09155,0.43646,0.46541,0.40715,0.10884,2.38558,2.74035,2.81477,0.00166523,0.00166523,0.00166523
