epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.5955,1.29736,1.54775,1.55743,0.04172,0.36164,0.02692,0.00944,2.58897,23.2394,4.0027,0.000549352,0.000549352,0.000549352
2,85.1655,1.46582,1.39761,1.65808,0.3748,0.48742,0.31201,0.11063,2.41957,6.67672,3.57631,0.00110137,0.00110137,0.00110137
3,124.701,1.44824,1.37234,1.61396,0.49763,0.53266,0.47138,0.22784,2.03679,2.50749,2.26415,0.00164973,0.00164973,0.00164973
4,164.245,1.38552,1.28063,1.58164,0.70235,0.67296,0.71626,0.41717,1.48075,1.49576,1.79668,0.0016505,0.0016505,0.0016505
5,203.666,1.33622,1.19123,1.54583,0.78453,0.73278,0.79265,0.4756,1.45274,1.26883,1.63451,0.001645,0.001645,0.001645
6,243.27,1.28676,1.17972,1.49722,0.7293,0.72858,0.75964,0.48264,1.27322,1.13083,1.54226,0.00163949,0.00163949,0.00163949
7,282.607,1.22047,1.0933,1.45868,0.67101,0.64151,0.67408,0.39217,1.45123,1.60467,1.73085,0.00163399,0.00163399,0.00163399
8,321.84,1.2428,1.11265,1.48293,0.8329,0.77044,0.84488,0.53853,1.25131,0.99964,1.5194,0.00162849,0.00162849,0.00162849
9,361.162,1.18704,1.02684,1.42645,0.85422,0.75157,0.829,0.56429,1.11716,0.94387,1.43697,0.00162299,0.00162299,0.00162299
10,400.495,1.1892,1.03552,1.44004,0.82034,0.80408,0.85334,0.59223,1.13488,0.91124,1.43588,0.00161749,0.00161749,0.00161749
11,439.844,1.14829,0.98876,1.40194,0.82858,0.77358,0.8247,0.53198,1.32356,0.92808,1.55152,0.00161199,0.00161199,0.00161199
12,479.126,1.11932,0.94391,1.37941,0.85993,0.71433,0.79717,0.51921,1.25699,0.95104,1.50063,0.00160649,0.00160649,0.00160649
13,518.353,1.12842,0.94692,1.38286,0.85026,0.76783,0.85417,0.57986,1.28068,0.8351,1.45482,0.00160099,0.00160099,0.00160099
14,557.549,1.08211,0.89587,1.35335,0.82947,0.83019,0.87081,0.5904,1.17252,0.90244,1.40521,0.00159549,0.00159549,0.00159549
15,596.742,1.0517,0.86283,1.33272,0.90797,0.80666,0.87685,0.60863,1.08594,0.72129,1.37337,0.00158998,0.00158998,0.00158998
16,636.104,1.04292,0.8475,1.32252,0.89998,0.78931,0.88673,0.62413,1.09732,0.79085,1.38565,0.00158448,0.00158448,0.00158448
17,675.443,1.00932,0.82745,1.29741,0.85776,0.8239,0.87233,0.61694,1.06577,0.74047,1.37041,0.00157898,0.00157898,0.00157898
18,714.635,1.04739,0.84856,1.31926,0.88434,0.7956,0.85515,0.62218,1.03695,0.77432,1.33521,0.00157348,0.00157348,0.00157348
19,753.825,1.02476,0.82596,1.3242,0.90524,0.81108,0.89726,0.62079,1.07809,0.74562,1.36898,0.00156798,0.00156798,0.00156798
20,792.996,1.00746,0.81962,1.3006,0.88296,0.83648,0.90315,0.6515,1.02881,0.72302,1.31612,0.00156248,0.00156248,0.00156248
21,832.341,0.9961,0.79506,1.28381,0.88313,0.79245,0.87107,0.60628,1.10045,0.79709,1.38771,0.00155698,0.00155698,0.00155698
22,871.539,0.98221,0.78343,1.28239,0.82955,0.7956,0.84779,0.58835,1.07874,0.84161,1.40675,0.00155148,0.00155148,0.00155148
23,910.727,0.97109,0.75899,1.27265,0.86992,0.8522,0.89918,0.65045,1.00782,0.65796,1.30935,0.00154598,0.00154598,0.00154598
24,949.924,0.93835,0.74907,1.25163,0.92245,0.77987,0.87286,0.6422,0.97302,0.70788,1.29736,0.00154047,0.00154047,0.00154047
25,989.049,0.96498,0.759,1.27209,0.84661,0.83019,0.87856,0.62411,1.03004,0.73489,1.31828,0.00153497,0.00153497,0.00153497
26,1028.29,0.94925,0.73797,1.25866,0.90467,0.79874,0.89992,0.62868,1.07615,0.67599,1.36957,0.00152947,0.00152947,0.00152947
27,1067.49,0.93596,0.7305,1.25224,0.91863,0.78931,0.90326,0.63225,1.06926,0.69204,1.33453,0.00152397,0.00152397,0.00152397
28,1106.72,0.91904,0.71034,1.23735,0.91079,0.80259,0.89467,0.65199,0.9793,0.66953,1.30157,0.00151847,0.00151847,0.00151847
29,1146.13,0.91422,0.69292,1.22919,0.90806,0.80754,0.88639,0.65801,1.01322,0.68151,1.34328,0.00151297,0.00151297,0.00151297
30,1185.47,0.91129,0.6795,1.23034,0.91209,0.82704,0.89836,0.66636,0.93471,0.65824,1.23017,0.00150747,0.00150747,0.00150747
31,1224.7,0.88904,0.67947,1.21706,0.90814,0.8522,0.91324,0.66852,0.94683,0.61673,1.24543,0.00150197,0.00150197,0.00150197
32,1263.93,0.87816,0.67455,1.21073,0.88472,0.84906,0.91144,0.65769,0.97001,0.61799,1.25535,0.00149647,0.00149647,0.00149647
33,1303.1,0.8975,0.67631,1.21821,0.89773,0.80049,0.88481,0.66436,0.93154,0.64151,1.23962,0.00149096,0.00149096,0.00149096
34,1342.2,0.86669,0.64876,1.20368,0.90268,0.8522,0.89841,0.65581,0.97634,0.6229,1.25476,0.00148546,0.00148546,0.00148546
35,1381.13,0.86467,0.644,1.20097,0.91686,0.83225,0.90443,0.67114,0.96961,0.6087,1.27523,0.00147996,0.00147996,0.00147996
36,1420.07,0.88385,0.6479,1.20708,0.88565,0.82075,0.87756,0.65982,0.93786,0.73937,1.2482,0.00147446,0.00147446,0.00147446
37,1458.92,0.84275,0.62208,1.18617,0.89735,0.81132,0.87914,0.62659,1.09587,0.71178,1.36996,0.00146896,0.00146896,0.00146896
38,1497.72,0.85717,0.63939,1.19783,0.88343,0.85793,0.89466,0.68837,0.86789,0.60621,1.16377,0.00146346,0.00146346,0.00146346
39,1536.62,0.87014,0.64687,1.20477,0.9004,0.8239,0.89871,0.66422,0.89675,0.65024,1.22897,0.00145796,0.00145796,0.00145796
40,1575.47,0.86488,0.66312,1.20326,0.92744,0.80383,0.90514,0.67478,0.92643,0.61189,1.22424,0.00145246,0.00145246,0.00145246
41,1614.25,0.8681,0.6474,1.1989,0.87017,0.86415,0.90607,0.69116,0.91414,0.65204,1.23131,0.00144696,0.00144696,0.00144696
42,1653.11,0.83585,0.61639,1.17543,0.92444,0.84645,0.89569,0.66405,0.98267,0.70654,1.28672,0.00144145,0.00144145,0.00144145
43,1691.81,0.8565,0.62725,1.19057,0.87692,0.80662,0.87509,0.64993,0.94876,0.73642,1.23441,0.00143595,0.00143595,0.00143595
44,1730.58,0.82947,0.61304,1.17979,0.88803,0.82302,0.89259,0.66818,0.89422,0.6202,1.20208,0.00143045,0.00143045,0.00143045
45,1769.35,0.83333,0.59816,1.17824,0.92241,0.8225,0.89343,0.68032,0.89952,0.62997,1.21323,0.00142495,0.00142495,0.00142495
46,1808.05,0.80543,0.59477,1.16836,0.88944,0.83487,0.9096,0.67444,0.96418,0.64404,1.27431,0.00141945,0.00141945,0.00141945
47,1846.78,0.79998,0.59855,1.1531,0.92154,0.86792,0.90182,0.66026,0.94415,0.59925,1.27309,0.00141395,0.00141395,0.00141395
48,1885.47,0.80412,0.60002,1.16423,0.90001,0.80818,0.88653,0.66983,1.0089,0.63923,1.28258,0.00140845,0.00140845,0.00140845
49,1924.1,0.79793,0.57729,1.15862,0.89394,0.80818,0.89381,0.6603,0.92733,0.61959,1.25044,0.00140295,0.00140295,0.00140295
50,1962.73,0.79207,0.57763,1.15377,0.92321,0.81132,0.90246,0.66731,0.9288,0.57779,1.24739,0.00139745,0.00139745,0.00139745
51,2001.39,0.8015,0.57609,1.15938,0.88755,0.84393,0.91084,0.68774,0.91258,0.59448,1.23233,0.00139195,0.00139195,0.00139195
52,2040.04,0.77712,0.57712,1.14073,0.91697,0.81447,0.89801,0.68689,0.89781,0.64878,1.2309,0.00138644,0.00138644,0.00138644
53,2078.71,0.77355,0.55356,1.13514,0.9269,0.81447,0.90473,0.69301,0.85413,0.60077,1.16507,0.00138094,0.00138094,0.00138094
54,2117.44,0.78905,0.5682,1.14599,0.90727,0.82075,0.90039,0.70124,0.84222,0.58244,1.16273,0.00137544,0.00137544,0.00137544
55,2156.13,0.78397,0.56303,1.14461,0.91482,0.8239,0.88923,0.66343,0.92596,0.63715,1.24649,0.00136994,0.00136994,0.00136994
56,2194.71,0.77305,0.55693,1.1342,0.90917,0.84988,0.89261,0.68622,0.85738,0.59696,1.19064,0.00136444,0.00136444,0.00136444
57,2233.34,0.76806,0.54889,1.13834,0.92328,0.80503,0.8909,0.69069,0.84306,0.59945,1.18076,0.00135894,0.00135894,0.00135894
58,2272.03,0.75818,0.54492,1.13329,0.91726,0.83664,0.89711,0.69455,0.87586,0.55488,1.17877,0.00135344,0.00135344,0.00135344
59,2310.71,0.75239,0.53634,1.1307,0.90971,0.85849,0.91639,0.70087,0.85214,0.54735,1.16931,0.00134794,0.00134794,0.00134794
60,2349.39,0.75119,0.54324,1.1293,0.94312,0.83019,0.90428,0.69276,0.85911,0.54943,1.19973,0.00134244,0.00134244,0.00134244
61,2388.1,0.74352,0.53612,1.11982,0.90248,0.8239,0.8814,0.66666,0.90327,0.65384,1.20872,0.00133693,0.00133693,0.00133693
62,2426.81,0.75142,0.53938,1.12871,0.90607,0.8239,0.89197,0.69649,0.86245,0.60936,1.19627,0.00133143,0.00133143,0.00133143
63,2465.53,0.75804,0.53349,1.13018,0.90604,0.84905,0.886,0.67768,0.87058,0.57988,1.20611,0.00132593,0.00132593,0.00132593
64,2504.18,0.76239,0.54088,1.12731,0.90231,0.84229,0.87661,0.67539,0.87904,0.61802,1.19015,0.00132043,0.00132043,0.00132043
65,2542.89,0.72554,0.51639,1.11411,0.88596,0.83066,0.88644,0.67927,0.8197,0.55521,1.15877,0.00131493,0.00131493,0.00131493
66,2581.56,0.73576,0.52148,1.11122,0.90789,0.83683,0.89626,0.69273,0.84979,0.58373,1.19085,0.00130943,0.00130943,0.00130943
67,2620.26,0.71694,0.50224,1.1088,0.8738,0.84913,0.89406,0.70061,0.8605,0.63063,1.1895,0.00130393,0.00130393,0.00130393
68,2658.98,0.72047,0.50929,1.09786,0.91448,0.84071,0.91565,0.6961,0.85951,0.59279,1.18193,0.00129843,0.00129843,0.00129843
69,2697.71,0.74071,0.50882,1.12194,0.87258,0.84591,0.88466,0.68453,0.85946,0.60545,1.1712,0.00129293,0.00129293,0.00129293
70,2736.41,0.72557,0.50298,1.11318,0.90306,0.87107,0.91553,0.70748,0.85161,0.51744,1.16746,0.00128742,0.00128742,0.00128742
71,2775.22,0.73685,0.51015,1.11948,0.90434,0.83243,0.89592,0.70546,0.8598,0.63672,1.20667,0.00128192,0.00128192,0.00128192
72,2813.99,0.71457,0.50423,1.10667,0.90014,0.81761,0.90277,0.70226,0.84435,0.56731,1.18155,0.00127642,0.00127642,0.00127642
73,2852.71,0.72054,0.51149,1.1124,0.91598,0.85708,0.90663,0.6993,0.83283,0.60635,1.18649,0.00127092,0.00127092,0.00127092
74,2891.38,0.72432,0.50266,1.10224,0.89585,0.83648,0.89807,0.69941,0.85864,0.58566,1.17464,0.00126542,0.00126542,0.00126542
75,2930.06,0.69408,0.4868,1.09684,0.9265,0.83247,0.89414,0.69758,0.81369,0.57822,1.14102,0.00125992,0.00125992,0.00125992
76,2968.76,0.70319,0.49581,1.09485,0.92979,0.8329,0.90554,0.67904,0.87888,0.59574,1.1983,0.00125442,0.00125442,0.00125442
77,3007.42,0.7105,0.48916,1.10115,0.93146,0.82075,0.89622,0.68813,0.9101,0.62334,1.21409,0.00124892,0.00124892,0.00124892
78,3046.1,0.69844,0.48019,1.08991,0.85418,0.83648,0.8808,0.69547,0.8777,0.6347,1.244,0.00124342,0.00124342,0.00124342
79,3084.74,0.68392,0.47432,1.08671,0.89951,0.84443,0.89701,0.70898,0.79468,0.62424,1.15872,0.00123791,0.00123791,0.00123791
80,3123.5,0.69752,0.48666,1.08969,0.93867,0.81132,0.89052,0.69647,0.79488,0.55638,1.13683,0.00123241,0.00123241,0.00123241
81,3162.13,0.68705,0.47677,1.0911,0.90656,0.82377,0.89005,0.69792,0.85177,0.5755,1.19739,0.00122691,0.00122691,0.00122691
82,3200.76,0.69446,0.46776,1.09511,0.93132,0.81025,0.88775,0.68975,0.81473,0.64145,1.16046,0.00122141,0.00122141,0.00122141
83,3239.42,0.69978,0.4692,1.0984,0.92369,0.83019,0.89247,0.69831,0.83659,0.566,1.16436,0.00121591,0.00121591,0.00121591
84,3278.08,0.67579,0.47329,1.07781,0.90049,0.8537,0.88925,0.70235,0.81432,0.56991,1.14173,0.00121041,0.00121041,0.00121041
85,3316.74,0.67666,0.45813,1.07438,0.92455,0.83019,0.89507,0.71314,0.76508,0.51909,1.10637,0.00120491,0.00120491,0.00120491
86,3355.49,0.66132,0.45885,1.07485,0.89821,0.86024,0.90056,0.70168,0.8513,0.58764,1.19442,0.00119941,0.00119941,0.00119941
87,3394.14,0.66491,0.459,1.06772,0.94118,0.81761,0.88578,0.69235,0.83768,0.58362,1.15044,0.00119391,0.00119391,0.00119391
88,3432.79,0.65493,0.46105,1.06922,0.93581,0.84277,0.90546,0.71952,0.85695,0.57267,1.18193,0.0011884,0.0011884,0.0011884
89,3471.56,0.67892,0.45661,1.08288,0.91332,0.82832,0.88949,0.70355,0.87571,0.58011,1.19575,0.0011829,0.0011829,0.0011829
90,3510.2,0.67308,0.47253,1.08506,0.90057,0.86164,0.91302,0.71519,0.79023,0.54157,1.12862,0.0011774,0.0011774,0.0011774
91,3548.96,0.67458,0.46529,1.07747,0.91563,0.81908,0.89421,0.70808,0.7999,0.61774,1.15725,0.0011719,0.0011719,0.0011719
92,3587.67,0.65476,0.4467,1.06078,0.92148,0.84881,0.90599,0.70021,0.82783,0.50943,1.20248,0.0011664,0.0011664,0.0011664
93,3626.38,0.66863,0.45283,1.06896,0.93709,0.84906,0.90152,0.71467,0.79086,0.52214,1.14004,0.0011609,0.0011609,0.0011609
94,3665.03,0.65437,0.44408,1.06994,0.93705,0.81132,0.89289,0.69791,0.7868,0.52906,1.14304,0.0011554,0.0011554,0.0011554
95,3703.7,0.66433,0.43875,1.07063,0.93725,0.81447,0.88806,0.68993,0.78639,0.54703,1.14284,0.0011499,0.0011499,0.0011499
96,3742.32,0.64072,0.43794,1.05997,0.94594,0.82544,0.89073,0.71181,0.75866,0.50611,1.11584,0.0011444,0.0011444,0.0011444
97,3780.96,0.65703,0.44587,1.0691,0.91974,0.83962,0.89198,0.70794,0.81715,0.58406,1.15822,0.00113889,0.00113889,0.00113889
98,3819.61,0.65766,0.4453,1.0707,0.9396,0.8317,0.9096,0.70349,0.82262,0.53182,1.15723,0.00113339,0.00113339,0.00113339
99,3858.31,0.651,0.44057,1.06814,0.91132,0.84591,0.89868,0.70606,0.82009,0.58491,1.18917,0.00112789,0.00112789,0.00112789
100,3897.02,0.65027,0.43638,1.06948,0.9199,0.83068,0.89657,0.70825,0.82551,0.59025,1.16957,0.00112239,0.00112239,0.00112239
101,3935.75,0.62054,0.41791,1.04966,0.91168,0.84394,0.89226,0.70005,0.81283,0.57295,1.15954,0.00111689,0.00111689,0.00111689
102,3974.44,0.64534,0.43444,1.06433,0.90598,0.84906,0.89427,0.70431,0.83821,0.57704,1.16221,0.00111139,0.00111139,0.00111139
103,4013.21,0.63023,0.43399,1.06743,0.93254,0.81447,0.89411,0.70773,0.80892,0.56882,1.16544,0.00110589,0.00110589,0.00110589
104,4051.96,0.64315,0.42509,1.05672,0.91507,0.81312,0.88982,0.69866,0.78428,0.58786,1.13464,0.00110039,0.00110039,0.00110039
105,4090.65,0.63456,0.43825,1.06461,0.92215,0.80189,0.88322,0.68092,0.8799,0.64466,1.1982,0.00109489,0.00109489,0.00109489
106,4129.38,0.63842,0.43552,1.0633,0.94398,0.7949,0.88434,0.69263,0.82411,0.56199,1.17628,0.00108938,0.00108938,0.00108938
107,4168.06,0.62202,0.41154,1.04473,0.94128,0.80653,0.88753,0.69624,0.82768,0.61116,1.17667,0.00108388,0.00108388,0.00108388
108,4206.78,0.61651,0.41349,1.04517,0.90676,0.82569,0.89795,0.69579,0.88398,0.54748,1.23257,0.00107838,0.00107838,0.00107838
109,4245.48,0.62218,0.4225,1.05001,0.89218,0.83019,0.89792,0.71207,0.80529,0.55952,1.19059,0.00107288,0.00107288,0.00107288
110,4284.21,0.62553,0.41566,1.04939,0.90232,0.81336,0.88163,0.70042,0.81874,0.59022,1.18212,0.00106738,0.00106738,0.00106738
111,4322.93,0.61477,0.42092,1.04928,0.93394,0.80025,0.88304,0.6905,0.86482,0.61074,1.20602,0.00106188,0.00106188,0.00106188
112,4361.6,0.63107,0.42586,1.05407,0.89094,0.84774,0.8962,0.70777,0.81097,0.56688,1.15749,0.00105638,0.00105638,0.00105638
113,4400.29,0.63609,0.42499,1.05825,0.93349,0.8386,0.90154,0.71344,0.78162,0.57997,1.10808,0.00105088,0.00105088,0.00105088
114,4438.93,0.61653,0.41305,1.05038,0.90895,0.82704,0.88065,0.70012,0.76688,0.56125,1.14717,0.00104538,0.00104538,0.00104538
115,4477.58,0.62574,0.42365,1.06033,0.88949,0.86057,0.89369,0.69925,0.81794,0.58593,1.14738,0.00103987,0.00103987,0.00103987
116,4516.27,0.62624,0.42455,1.05223,0.92946,0.82867,0.89485,0.70873,0.8092,0.61051,1.15191,0.00103437,0.00103437,0.00103437
117,4555.03,0.62279,0.41997,1.04809,0.91826,0.84786,0.90216,0.70947,0.80569,0.59249,1.14509,0.00102887,0.00102887,0.00102887
118,4593.76,0.60825,0.40194,1.0427,0.93261,0.81761,0.89402,0.72274,0.78837,0.66464,1.14429,0.00102337,0.00102337,0.00102337
119,4632.59,0.59897,0.40494,1.03349,0.93642,0.80503,0.88694,0.69932,0.80344,0.57231,1.17156,0.00101787,0.00101787,0.00101787
120,4671.33,0.58758,0.40316,1.02912,0.91099,0.83683,0.89534,0.71233,0.78176,0.59683,1.12712,0.00101237,0.00101237,0.00101237
121,4710.08,0.59562,0.40987,1.03871,0.91728,0.84906,0.90304,0.72014,0.74774,0.52358,1.11789,0.00100687,0.00100687,0.00100687
122,4748.78,0.58758,0.39207,1.03896,0.90983,0.85676,0.90985,0.72235,0.81297,0.53843,1.15144,0.00100137,0.00100137,0.00100137
123,4787.46,0.599,0.40109,1.04268,0.93766,0.83333,0.89507,0.71408,0.76467,0.5883,1.1243,0.000995866,0.000995866,0.000995866
124,4826.12,0.59817,0.40018,1.03865,0.94328,0.81447,0.89787,0.7205,0.77912,0.53828,1.13698,0.000990365,0.000990365,0.000990365
125,4864.79,0.59858,0.40232,1.03616,0.91988,0.8304,0.89146,0.70349,0.83911,0.64388,1.17165,0.000984864,0.000984864,0.000984864
126,4903.41,0.59681,0.39969,1.03627,0.96042,0.79874,0.89018,0.70789,0.78742,0.58178,1.15256,0.000979362,0.000979362,0.000979362
127,4942.04,0.59011,0.3962,1.02794,0.89793,0.83962,0.89245,0.70218,0.82604,0.58794,1.17081,0.000973861,0.000973861,0.000973861
128,4980.77,0.59309,0.40014,1.03709,0.92654,0.8522,0.90327,0.70438,0.7859,0.51696,1.16247,0.00096836,0.00096836,0.00096836
129,5019.46,0.59081,0.39513,1.04051,0.91843,0.84981,0.89745,0.7076,0.81565,0.61082,1.16509,0.000962859,0.000962859,0.000962859
130,5058.16,0.58775,0.38704,1.02708,0.91983,0.86589,0.89698,0.71256,0.76218,0.5327,1.11801,0.000957358,0.000957358,0.000957358
131,5096.78,0.57167,0.37887,1.01665,0.91458,0.82075,0.89487,0.71177,0.78183,0.58653,1.14123,0.000951857,0.000951857,0.000951857
132,5135.37,0.57829,0.38281,1.0251,0.94786,0.81447,0.90528,0.71758,0.76987,0.53739,1.13023,0.000946356,0.000946356,0.000946356
133,5174,0.56354,0.37998,1.01867,0.93184,0.8598,0.91392,0.73051,0.78704,0.51275,1.15491,0.000940855,0.000940855,0.000940855
134,5212.72,0.58193,0.39049,1.0326,0.90458,0.83468,0.90104,0.70492,0.85933,0.59912,1.20347,0.000935354,0.000935354,0.000935354
135,5251.36,0.57866,0.38697,1.02043,0.92168,0.85116,0.89767,0.71615,0.79895,0.53557,1.14319,0.000929853,0.000929853,0.000929853
136,5289.96,0.57059,0.37786,1.02237,0.93252,0.84591,0.907,0.7152,0.78494,0.52327,1.13692,0.000924352,0.000924352,0.000924352
137,5328.51,0.56598,0.37705,1.02132,0.90787,0.83962,0.89217,0.70253,0.81651,0.57569,1.18712,0.00091885,0.00091885,0.00091885
138,5367.15,0.55611,0.37282,1.02595,0.91486,0.87857,0.91555,0.72142,0.76777,0.4861,1.13606,0.000913349,0.000913349,0.000913349
139,5405.87,0.57726,0.38232,1.0253,0.93835,0.86151,0.90688,0.71868,0.76585,0.50836,1.13114,0.000907848,0.000907848,0.000907848
140,5444.56,0.56378,0.37639,1.01376,0.9559,0.81801,0.89977,0.70945,0.78517,0.55309,1.15894,0.000902347,0.000902347,0.000902347
141,5483.21,0.56111,0.37728,1.02461,0.9077,0.82704,0.88792,0.69767,0.81674,0.58892,1.17479,0.000896846,0.000896846,0.000896846
142,5521.85,0.57286,0.37939,1.01935,0.92447,0.84591,0.89716,0.71593,0.77569,0.51644,1.1454,0.000891345,0.000891345,0.000891345
143,5560.51,0.55464,0.37201,1.01192,0.94673,0.83826,0.90875,0.72499,0.75869,0.49263,1.11455,0.000885844,0.000885844,0.000885844
144,5599.16,0.55173,0.37082,1.01905,0.90968,0.85518,0.9015,0.72571,0.76307,0.51774,1.14535,0.000880343,0.000880343,0.000880343
145,5637.86,0.53976,0.36303,1.00807,0.92058,0.84277,0.8956,0.71065,0.79018,0.56721,1.16828,0.000874842,0.000874842,0.000874842
146,5676.62,0.54132,0.35978,1.00796,0.92931,0.82676,0.90224,0.71981,0.81777,0.68918,1.16718,0.00086934,0.00086934,0.00086934
147,5715.3,0.55612,0.36827,1.01491,0.93741,0.83333,0.90335,0.7177,0.80494,0.548,1.16611,0.000863839,0.000863839,0.000863839
148,5753.99,0.55,0.36125,1.0103,0.91922,0.84906,0.90038,0.71472,0.80541,0.55682,1.16773,0.000858338,0.000858338,0.000858338
149,5792.67,0.54061,0.36343,1.01204,0.94688,0.84086,0.90364,0.71674,0.79036,0.52877,1.15486,0.000852837,0.000852837,0.000852837
150,5831.39,0.55758,0.37468,1.01795,0.90218,0.86164,0.90714,0.71525,0.79675,0.55926,1.15502,0.000847336,0.000847336,0.000847336
151,5869.98,0.54182,0.36305,1.01438,0.94417,0.83333,0.90431,0.71406,0.81786,0.54415,1.18111,0.000841835,0.000841835,0.000841835
152,5908.59,0.53286,0.35737,1.00418,0.93156,0.83648,0.8944,0.71303,0.79852,0.54377,1.16126,0.000836334,0.000836334,0.000836334
153,5947.17,0.54247,0.35455,1.00651,0.9377,0.8519,0.89524,0.71932,0.77937,0.51862,1.14424,0.000830833,0.000830833,0.000830833
154,5985.83,0.53368,0.36149,1.01041,0.92662,0.85535,0.89863,0.7187,0.7879,0.50212,1.14911,0.000825332,0.000825332,0.000825332
155,6024.47,0.53375,0.3641,1.00878,0.91991,0.84906,0.89767,0.71423,0.78551,0.51178,1.15297,0.000819831,0.000819831,0.000819831
156,6063.15,0.53045,0.35453,0.99925,0.93199,0.85849,0.90011,0.71944,0.77087,0.50374,1.1443,0.000814329,0.000814329,0.000814329
157,6101.8,0.53527,0.35566,1.00881,0.93924,0.82639,0.91268,0.72273,0.76738,0.5227,1.12843,0.000808828,0.000808828,0.000808828
158,6140.42,0.53123,0.34879,1.00269,0.90879,0.86478,0.90937,0.72741,0.78984,0.5537,1.15082,0.000803327,0.000803327,0.000803327
159,6179.08,0.53414,0.34991,1.00661,0.91568,0.85849,0.90354,0.72763,0.79124,0.53501,1.14681,0.000797826,0.000797826,0.000797826
160,6217.73,0.52973,0.36215,1.01177,0.93096,0.84801,0.90157,0.71804,0.7986,0.54066,1.14438,0.000792325,0.000792325,0.000792325
161,6256.42,0.53636,0.35494,1.00379,0.90957,0.83019,0.89106,0.70925,0.81673,0.55361,1.15271,0.000786824,0.000786824,0.000786824
162,6295.09,0.52008,0.34069,0.9996,0.93553,0.82704,0.90682,0.71466,0.83357,0.58425,1.17833,0.000781323,0.000781323,0.000781323
163,6333.78,0.52008,0.35182,0.99792,0.92343,0.83432,0.89527,0.70961,0.80581,0.62707,1.15224,0.000775822,0.000775822,0.000775822
164,6372.46,0.52749,0.34411,0.99924,0.92908,0.85535,0.88985,0.70318,0.81117,0.53811,1.17061,0.000770321,0.000770321,0.000770321
165,6411.1,0.52387,0.34188,1.00015,0.93524,0.86288,0.90152,0.70779,0.86388,0.54782,1.23993,0.00076482,0.00076482,0.00076482
166,6449.7,0.52591,0.34928,1.00003,0.93286,0.87736,0.91023,0.71691,0.82476,0.51378,1.19731,0.000759318,0.000759318,0.000759318
167,6488.34,0.53317,0.34607,1.00103,0.91603,0.85766,0.90737,0.71867,0.83765,0.54971,1.24159,0.000753817,0.000753817,0.000753817
168,6526.99,0.52282,0.34351,0.99819,0.93593,0.82704,0.89971,0.70982,0.79442,0.55306,1.16725,0.000748316,0.000748316,0.000748316
169,6565.63,0.52331,0.34528,1.0012,0.92339,0.83386,0.90811,0.71501,0.81124,0.5217,1.18822,0.000742815,0.000742815,0.000742815
170,6604.2,0.5064,0.33566,0.99318,0.91111,0.85535,0.90444,0.7175,0.77495,0.53059,1.14183,0.000737314,0.000737314,0.000737314
171,6642.76,0.49981,0.33306,0.99493,0.92051,0.86164,0.8917,0.69784,0.79766,0.53597,1.16447,0.000731813,0.000731813,0.000731813
